ndb,energy_kcal,protein_g,fat_g,carbs_g,fiber_g,sugar_g,sodium_mg
6046,88.0,2.2,4.2,10.4,0.4,3.64,637.0
6048,48.0,1.72,3.13,3.32,0.0,0.0,722.0
6049,125.0,6.54,2.23,20.18,3.9,6.52,680.0
6050,77.0,4.62,1.66,11.17,1.7,1.91,301.0
6062,47.0,2.37,1.53,5.97,0.0,0.0,683.0
6063,93.0,1.64,2.12,17.08,1.3,5.9,635.0
6064,57.0,4.33,1.87,5.96,0.0,0.0,391.0
6067,39.0,1.14,0.36,7.9,1.1,1.56,267.0
6075,213.0,15.97,8.89,17.4,0.0,16.71,26000.0
6076,170.0,17.3,4.0,16.1,0.0,14.51,24000.0
6080,267.0,16.66,13.88,18.01,0.0,17.36,23875.0
6081,198.0,14.6,4.7,23.5,0.0,0.0,24000.0
6116,53.0,3.75,2.36,4.81,0.4,0.21,633.0
6118,367.0,10.74,9.61,59.38,2.0,0.0,4843.0
6119,48.0,0.71,2.62,5.29,0.1,0.3,389.0
6120,381.0,11.27,9.73,62.09,0.0,0.0,4152.0
6125,51.0,2.6,2.1,5.1,0.4,0.21,577.0
6126,367.0,10.42,7.19,65.12,0.0,0.0,4392.0
6127,344.0,13.0,8.0,58.0,0.0,0.0,5730.0
6128,377.0,15.42,6.51,62.32,3.2,1.9,3161.0
6547,30.0,2.37,1.23,2.6,0.1,0.0,386.0
6549,54.0,1.8,3.75,3.8,0.1,0.0,327.0
6558,50.0,0.92,1.02,9.6,0.2,0.0,424.0
6618,179.0,2.02,6.34,28.46,1.1,18.8,319.0
6619,55.0,2.0,0.71,11.2,2.0,3.6,131.0
6620,53.0,2.9,1.06,9.5,2.9,2.6,131.0
6621,40.0,1.7,0.53,8.4,2.7,2.7,138.0
6626,418.0,9.83,37.6,10.09,1.8,6.33,603.0
6627,426.0,5.0,42.42,6.14,1.7,1.92,998.0
6628,418.0,9.83,37.6,10.09,1.8,6.33,603.0
6629,372.0,4.16,36.38,6.93,2.1,2.6,1028.0
6700,5.0,0.24,0.07,0.93,0.0,0.55,296.0
6720,438.0,7.68,18.33,60.52,1.0,10.26,3202.0
6725,99.0,3.1,6.3,7.5,0.9,0.0,299.0
6731,117.0,6.5,2.1,18.0,4.6,0.0,672.0
6956,65.0,1.61,0.56,13.41,1.2,8.11,22.0
6957,380.0,8.53,11.85,59.78,3.2,9.23,5053.0
6958,369.0,9.8,9.48,61.1,4.3,23.9,5203.0
6959,409.0,11.72,14.66,57.56,3.8,7.6,4090.0
6964,30.0,0.79,0.28,6.57,0.6,3.97,33.0
6965,62.0,3.2,1.09,9.88,1.9,3.19,10.0
6966,25.0,1.27,0.95,2.95,0.2,0.27,173.0
6967,33.0,1.1,0.45,6.06,1.1,2.15,194.0
6972,92.0,2.5,0.3,19.79,2.4,13.33,1338.0
6974,69.0,5.1,2.0,8.76,0.4,1.42,35.0
6976,51.0,1.41,1.48,8.06,1.8,5.5,30.0
6977,53.0,3.8,2.4,6.16,0.3,0.01,18.0
6985,39.0,1.09,1.13,6.24,0.7,0.52,587.0
6999,51.0,0.79,2.73,5.87,0.0,0.94,424.0
7001,173.0,15.84,8.9,6.4,0.0,0.0,1334.0
6955,58.0,1.8,1.3,9.5,0.4,0.39,357.0
6960,535.0,15.32,36.35,36.52,2.0,5.4,2590.0
6961,21.0,0.9,0.6,3.9,0.7,2.55,25.0
